roast_amount_kg,1st_malt_amount_kg,2nd_malt_amount_kg,mt_temperature,mt_time,wk_temperature,wk_steam,wk_time,total_cold_wort,ph,extract,color,woc_time,whp_transfer_time,whp_rest_time,1st_malt_color,2nd_malt_color
64.49993439,16051.99658,3999.860052,67.31298447,6546.75,105.4085594,6482.25,6365.075,958.9,7.296126688,15.30944529,14.15695555,3126.1,729.925,14.49458333,6.127499795,6.019999897
64.5,16067.85283,4004.256635,66.93304129,6889.675,105.303989,6654.25,5929.7,963.2,7.219022429,15.28505681,14.27093933,3135.775,733.15,14.49458333,6.127499795,6.019999897
64.17751312,16062.20908,3996.957605,67.17704296,6614.475,105.2377529,7363.75,6366.15,1088.975,7.182910275,14.15517068,13.26913962,3492.675,912.675,14.49458333,6.127499795,6.019999897
64.39252625,16087.64375,4010.975385,66.90167017,6708.0,105.1680393,7245.5,7046.625,954.6,7.382991362,14.65647702,18.69328771,3630.275,870.75,14.49458333,6.127499795,6.019999897
64.17751312,16092.75,4012.16875,67.00275898,6526.325,105.1331825,6686.5,6744.55,964.275,7.382991362,14.65302825,18.17670178,3136.85,740.675,14.49458333,6.127499795,6.019999897
64.60740814,16086.46167,4015.770105,66.86681337,6766.05,105.1680393,6804.75,6690.8,964.275,7.382991362,15.21396586,18.35238414,3143.3,764.325,14.49458333,6.127499795,6.019999897
64.17751312,14042.99375,6072.449292,66.90167017,6721.975,105.1680393,6622.0,6609.1,966.425,7.382991362,15.13138959,18.19761586,3170.175,737.45,14.49458333,6.127499795,6.019999897
64.17751312,14051.15283,6078.738147,66.96790218,6708.0,105.1680393,6568.25,6531.7,966.425,7.382991362,15.66373438,18.19761586,3209.95,739.6,14.49458333,6.127499795,6.019999897
64.28492126,14141.35625,6070.138147,66.90167017,6744.55,105.1680393,6460.75,6501.6,966.425,7.382991362,15.7993309,18.15578771,3163.725,733.15,14.49458333,6.127499795,6.019999897
64.28498688,14056.25908,6075.30896,67.31298447,6613.4,105.1680393,6923.0,6553.2,962.125,5.546149433,15.13582205,19.82998424,4866.525,736.375,14.58416667,6.127499795,6.019999897
64.39249344,14109.64375,5989.57771,67.24327087,6791.85,105.1680393,6654.25,7177.775,961.05,5.627645648,15.48232679,19.13771801,3132.55,732.075,14.49458333,6.127499795,6.019999897
64.82248688,14119.14658,6070.79375,66.96790218,6771.425,105.2028961,6288.75,6554.275,966.425,5.627645648,15.52686507,19.1900032,3159.425,739.6,14.49458333,6.127499795,6.019999897
