job_id,roast_amount_kg,1st_malt_amount_kg,2nd_malt_amount_kg,mt_temperature,mt_time,wk_temperature,wk_steam,wk_time,total_cold_wort,ph,extract,color,woc_time,whp_transfer_time,whp_rest_time,1st_malt_color,2nd_malt_color,divide__total_cold_wort__woc_time,multiply__1st_malt_amount_kg__extract,multiply__2nd_malt_amount_kg__ph,divide__woc_time__whp_transfer_time,multiply__whp_rest_time__2nd_malt_color,multiply__mt_time__wk_time
2449959642,64.49993439,16051.99658,3999.860052,67.31298447,6546.75,105.4085594,6482.25,6365.075,958.9,7.296126688,15.30944529,14.15695555,3126.1,729.925,14.49458333,6.127499795,6.019999897,0.3066419366185923,245747.1634367771,29183.485673662268,4.276909395628826,87.25739015365791,41670554.75625
2449959689,64.5,16067.85283,4004.256635,66.93304129,6889.675,105.303989,6654.25,5929.7,963.2,7.219022429,15.28505681,14.27093933,3135.775,733.15,14.49458333,6.127499795,6.019999897,0.3070669716508197,245598.04332126927,28906.818459537066,4.271300143022543,87.25739015365791,40853705.8475
2449959720,64.17751312,16062.20908,3996.957605,67.17704296,6614.475,105.2377529,7363.75,6366.15,1088.975,7.182910275,14.15517068,13.26913962,3492.675,912.675,14.49458333,6.127499795,6.019999897,0.3116989989051643,227363.31102524578,28709.787849693894,3.8226667031493697,87.25739015365791,42108740.02125
2449961201,64.39252625,16087.64375,4010.975385,66.90167017,6708.0,105.1680393,7245.5,7046.625,954.6,7.382991362,14.65647702,18.69328771,3630.275,870.75,14.49458333,6.127499795,6.019999897,0.26288287171861124,235788.1809278216,29612.99662064963,4.164353312302839,87.25739015365791,47268760.5
2449961221,64.17751312,16092.75,4012.16875,67.00275898,6526.325,105.1331825,6686.5,6744.55,964.275,7.382991362,14.65302825,18.17670178,3136.85,740.675,14.49458333,6.127499795,6.019999897,0.30730436445336773,235807.5203701875,29621.807224136337,4.229413152661206,87.25739015365791,44017125.27875
2449961257,64.60740814,16086.46167,4015.770105,66.86681337,6766.05,105.1680393,6804.75,6690.8,964.275,7.382991362,15.21396586,18.35238414,3143.3,764.325,14.49458333,6.127499795,6.019999897,0.3066739814903158,244738.8786555786,29648.395996992833,4.107144023780747,87.25739015365791,45270287.34
2449961293,64.17751312,14042.99375,6072.449292,66.90167017,6721.975,105.1680393,6622.0,6609.1,966.425,7.382991362,15.13138959,18.19761586,3170.175,737.45,14.49458333,6.127499795,6.019999897,0.3047529701136014,212490.00944118504,44832.84066901902,4.293012390818607,87.25739015365791,44426204.972500004
2449961341,64.17751312,14051.15283,6078.738147,66.96790218,6708.0,105.1680393,6568.25,6531.7,966.425,7.382991362,15.66373438,18.19761586,3209.95,739.6,14.49458333,6.127499795,6.019999897,0.3009779037356546,220093.5256619053,44879.271231160885,4.334256008641642,87.25739015365791,43814643.6
2449961374,64.28492126,14141.35625,6070.138147,66.90167017,6744.55,105.1680393,6460.75,6501.6,966.425,7.382991362,15.7993309,18.15578771,3163.725,733.15,14.49458333,6.127499795,6.019999897,0.3053740846361058,223423.96676853314,44815.77750544769,4.30937138187019,87.25739015365791,43850366.28
2449961399,64.28498688,14056.25908,6075.30896,67.31298447,6613.4,105.1680393,6923.0,6553.2,962.125,5.546149433,15.13582205,19.82998424,4866.525,736.375,14.58416667,6.127499795,6.019999897,0.19766205617844798,212753.03612357672,33694.57134380382,6.599796575690794,87.79668185123083,43338932.879999995
