model,n_features,n_splits,scorer,outliers,scores
LinearRegression,2,2,r2_score,yes,[-0.4104162  -0.12814619]
LinearRegression,2,2,r2_score,no,[-0.3460266  -0.23459105]
LinearRegression,2,2,mae,yes,[-0.64858719 -0.94738466]
LinearRegression,2,2,mae,no,[-0.57326622 -1.02886037]
LinearRegression,2,2,mse,yes,[0.4104162  0.12814619]
LinearRegression,2,2,mse,no,[0.3460266  0.23459105]
LinearRegression,3,2,r2_score,yes,[-0.41109328 -0.25059485]
LinearRegression,3,2,r2_score,no,[-0.33509301 -0.23696981]
LinearRegression,3,2,mae,yes,[-0.64874053 -0.85377568]
LinearRegression,3,2,mae,no,[-0.57286938 -1.04990063]
LinearRegression,3,2,mse,yes,[0.41109328 0.25059485]
LinearRegression,3,2,mse,no,[0.33509301 0.23696981]
LinearRegression,4,2,r2_score,yes,[-0.42953409 -0.17947926]
LinearRegression,4,2,r2_score,no,[-0.2717397  -0.24584042]
LinearRegression,4,2,mae,yes,[-0.67459903 -0.87210672]
LinearRegression,4,2,mae,no,[-0.56396806 -1.08722636]
LinearRegression,4,2,mse,yes,[0.42953409 0.17947926]
LinearRegression,4,2,mse,no,[0.2717397  0.24584042]
LinearRegression,5,2,r2_score,yes,[-0.42893255 -0.20772928]
LinearRegression,5,2,r2_score,no,[-0.28697606 -0.2398248 ]
LinearRegression,5,2,mae,yes,[-0.67667769 -0.88186672]
LinearRegression,5,2,mae,no,[-0.57132416 -1.10796418]
LinearRegression,5,2,mse,yes,[0.42893255 0.20772928]
LinearRegression,5,2,mse,no,[0.28697606 0.2398248 ]
LinearRegression,6,2,r2_score,yes,[-0.44307261 -0.22319341]
LinearRegression,6,2,r2_score,no,[-0.3355826 -0.22105  ]
LinearRegression,6,2,mae,yes,[-0.66299122 -0.88569519]
LinearRegression,6,2,mae,no,[-0.56736045 -1.11995527]
LinearRegression,6,2,mse,yes,[0.44307261 0.22319341]
LinearRegression,6,2,mse,no,[0.3355826 0.22105  ]
LinearRegression,7,2,r2_score,yes,[-0.46808171 -0.27221303]
LinearRegression,7,2,r2_score,no,[-0.50254714 -0.24070955]
LinearRegression,7,2,mae,yes,[-0.66503566 -0.90484092]
LinearRegression,7,2,mae,no,[-0.59438292 -1.12344651]
LinearRegression,7,2,mse,yes,[0.46808171 0.27221303]
LinearRegression,7,2,mse,no,[0.50254714 0.24070955]
LinearRegression,8,2,r2_score,yes,[-0.44655073 -0.26043747]
LinearRegression,8,2,r2_score,no,[-0.42070137 -0.23024761]
LinearRegression,8,2,mae,yes,[-0.66689587 -0.87715482]
LinearRegression,8,2,mae,no,[-0.58426697 -0.98341464]
LinearRegression,8,2,mse,yes,[0.44655073 0.26043747]
LinearRegression,8,2,mse,no,[0.42070137 0.23024761]
LinearRegression,9,2,r2_score,yes,[-0.44236428 -0.94268415]
LinearRegression,9,2,r2_score,no,[-0.45284643 -0.23124101]
LinearRegression,9,2,mae,yes,[-0.66550502 -1.2261177 ]
