job_id,date_time,roast_amount_kg,1st_malt_amount_kg,2nd_malt_amount_kg,mt_temperature,mt_time,wk_temperature,wk_steam,wk_time,total_cold_wort,ph,extract,color,woc_time,whp_transfer_time,whp_rest_time,roast_color,1st_malt_color,2nd_malt_color,product
2449962739,2020-10-31 09:49:00,23.32751312,13994.39304,6072.513855,77.30309811,6717.675,105.0983257,6869.25,7091.775,958.9,5.565181243,15.13479018,,3159.425,732.075,14.49458333,908.375,6.127499795,6.019999897,AMST
2449962755,2020-10-31 11:25:00,27.62757874,14021.05283,6075.09375,67.07247257,6996.1,105.1680393,6460.75,6411.3,954.6,5.647165966,15.41362251,,3116.425,729.925,14.49458333,908.375,6.127499795,6.019999897,AMST
2449962807,2020-10-31 14:06:00,23.32757874,13992.2,6074.330542,67.10732937,7225.075,105.2377529,6675.75,6717.675,959.975,5.652045918,15.78745191,,3129.325,731.0,14.49458333,908.375,6.127499795,6.019999897,AMST
2449962840,2020-10-31 17:35:00,64.39252625,14014.87158,6076.38396,66.93304129,6561.8,105.303989,6428.5,6543.525,964.275,5.675958192,15.67750537,,3139.0,729.925,14.49458333,908.375,6.127499795,6.019999897,AMST
2449962859,2020-10-31 19:40:00,24.50998688,14001.43408,6076.92146,66.90167017,6669.3,105.3388458,6557.5,6579.0,963.2,5.671078241,15.65360899,,3141.15,735.3,14.49458333,908.375,6.127499795,6.019999897,AMST
2449962896,2020-10-31 22:12:00,64.39246063,13981.76179,6070.525,66.86681337,6776.8,105.3388458,6482.25,6519.875,968.575,5.675958192,15.45305734,,3146.525,733.15,14.5125,908.375,6.127499795,6.019999897,AMST
2449962907,2020-11-01 00:39:00,64.39246063,14006.21804,6075.57771,67.03761578,6645.65,105.4085594,6525.25,6481.175,962.125,5.938991678,15.61966565,,3175.55,734.225,14.49458333,908.375,6.127499795,6.019999897,AMST
2449962972,2020-11-01 03:17:00,64.28498688,14032.72771,6070.74021,66.90167017,6684.35,105.4434162,6837.0,7081.025,961.05,5.59397347,15.53634509,,3499.125,736.375,14.5125,908.375,6.127499795,6.019999897,AMST
2449963016,2020-11-01 05:55:00,25.8,14061.63408,6068.375,67.24327087,6689.725,105.4434162,6374.75,6366.15,968.575,5.719390786,15.57912002,,3162.65,743.9,14.49458333,908.375,6.127499795,6.019999897,AMST
2449963045,2020-11-01 08:30:00,26.65998688,14103.77429,6073.094397,66.93304129,6605.875,105.4434162,6557.5,6524.175,963.2,5.729150689,15.68854575,,3141.15,733.15,14.49458333,908.375,6.127499795,6.019999897,AMST
